Name,Email,Financial Status,Paid at,Fulfillment Status,Fulfilled at,Accepts Marketing,Currency,Subtotal,Shipping,Taxes,Total,Discount Code,Discount Amount,Shipping Method,Created at,Lineitem quantity,Lineitem name,Lineitem price,Lineitem compare at price,Lineitem sku,Lineitem requires shipping,Lineitem taxable,Lineitem fulfillment status,Billing Name,Billing Street,Billing Address1,Billing Address2,Billing Company,Billing City,Billing Zip,Billing Province,Billing Country,Billing Phone,Shipping Name,Shipping Street,Shipping Address1,Shipping Address2,Shipping Company,Shipping City,Shipping Zip,Shipping Province,Shipping Country,Shipping Phone,Notes,Note Attributes,Cancelled at,Payment Method,Payment Reference,Refunded Amount,Vendor,Outstanding Balance,Employee,Location,Device ID,Id,Tags,Risk Level,Source,Lineitem discount,Tax 1 Name,Tax 1 Value,Tax 2 Name,Tax 2 Value,Tax 3 Name,Tax 3 Value,Tax 4 Name,Tax 4 Value,Tax 5 Name,Tax 5 Value,Phone,Receipt Number,Duties,Billing Province Name,Shipping Province Name,Payment ID,Payment Terms Name,Next Payment Due At,Payment References
AI-1004,cliente-ai-1004@ejemplo.com,paid,,fulfilled,2026-07-01 13:59:13 +0200,no,EUR,0.00,0.00,0.00,0.00,PRUEBA100,6.99,,2026-07-01 13:59:11 +0200,1,Éxito sin compañía,6.99,,,false,true,fulfilled,Cliente Demo AI-1004,Calle Ejemplo 1,Calle Ejemplo 1,,,Son ferrer,'07181,PM,ES,,,,,,,,,,,,,,,,,0.00,Anclora Insights,0.00,,,,13368678023551,,Low,web,0.00,ES IVA 4 %,0.00,,,,,,,,,,,,Islas Baleares,,,,,
AI-1003,cliente-ai-1003@ejemplo.com,paid,,fulfilled,2026-07-01 13:50:58 +0200,yes,EUR,0.00,0.00,0.00,0.00,PRUEBA100,6.99,,2026-07-01 13:50:57 +0200,1,Éxito sin compañía,6.99,,,false,true,fulfilled,Cliente Demo AI-1003,Calle Ejemplo 1,Calle Ejemplo 1,,,Palma,'07015,PM,ES,,,,,,,,,,,,,,,,,0.00,Anclora Insights,0.00,,,,13368645157247,,Low,web,0.00,ES IVA 4 %,0.00,,,,,,,,,,,,Islas Baleares,,,,,
AI-1002,cliente-ai-1002@ejemplo.com,paid,,fulfilled,2026-07-01 08:05:07 +0200,yes,EUR,0.00,0.00,0.00,0.00,PRUEBA100,6.99,,2026-07-01 08:05:06 +0200,1,Éxito sin compañía,6.99,,,false,true,fulfilled,Cliente Demo AI-1002,Calle Ejemplo 1,Calle Ejemplo 1,,,Palma,'07015,PM,ES,,,,,,,,,,,,,,,,,0.00,Anclora Insights,0.00,,,,13367532716415,,Low,web,0.00,ES IVA 4 %,0.00,,,,,,,,,,,,Islas Baleares,,,,,
AI-1001,cliente-ai-1001@ejemplo.com,refunded,2026-07-01 07:33:12 +0200,fulfilled,2026-07-01 07:33:13 +0200,yes,EUR,6.99,0.00,0.27,6.99,,0.00,,2026-07-01 07:33:11 +0200,1,Éxito sin compañía,6.99,,,false,true,fulfilled,Cliente Demo AI-1001,Calle Ejemplo 1,Calle Ejemplo 1,,,Palma,'07015,PM,ES,,,,,,,,,,,,,,,Shopify Payments,ruanMayOHND5Gsqm3Odqfev5S,6.99,Anclora Insights,0.00,,,,13367475634559,,Low,web,0.00,ES IVA 4 %,0.27,,,,,,,,,,,,Islas Baleares,,ruanMayOHND5Gsqm3Odqfev5S,,,ruanMayOHND5Gsqm3Odqfev5S + z1XOaXRxej8ocnNgbjbxuB7Jj
AI-1005,cliente.prueba.1005@example.test,refunded,2026-07-02 08:00:00 +0200,fulfilled,2026-07-02 08:00:00 +0200,yes,EUR,10.49,0.00,0.40,10.49,LECTOR50,10.48,Entrega digital,2026-07-02 08:00:00 +0200,3,Éxito sin compañía,6.99,,ESC-EBOOK-ES,false,true,fulfilled,Lucía Navarro,Calle Mayor 12,Calle Mayor 12,,,Madrid,28013,Madrid,ES,,,,,,,,,,,,,,,Shopify Payments,pay_AI_1005_0001,10.49,Anclora Insights,0.00,,,,13370000000001,"prueba, descuento-parcial",Medium,web,10.48,ES IVA ebook 4 %,0.40,,,,,,,,,,,,Madrid,,pay_AI_1005_0001,,,pay_AI_1005_0001
AI-1006,cliente.prueba.1006@example.test,paid,2026-07-02 09:07:00 +0200,fulfilled,2026-07-02 09:07:00 +0200,no,EUR,6.99,0.00,0.27,6.99,,0.00,Entrega digital,2026-07-02 09:07:00 +0200,1,Éxito sin compañía,6.99,,ESC-EBOOK-ES,false,true,fulfilled,Martín García,Carrer de Ferran 19,Carrer de Ferran 19,,,Barcelona,08002,Barcelona,ES,,,,,,,,,,,,,,,Shopify Payments,pay_AI_1006_0002,0.00,Anclora Insights,0.00,,,,13370000000002,prueba,Low,web,0.00,ES IVA ebook 4 %,0.27,,,,,,,,,,,,Barcelona,,pay_AI_1006_0002,,,pay_AI_1006_0002
AI-1007,cliente.prueba.1007@example.test,paid,2026-07-02 10:14:00 +0200,fulfilled,2026-07-02 10:14:00 +0200,no,EUR,6.99,0.00,0.27,6.99,,0.00,Entrega digital,2026-07-02 10:14:00 +0200,1,Éxito sin compañía,6.99,,ESC-EBOOK-ES,false,true,fulfilled,Sofía Romero,Carrer de Colón 26,Carrer de Colón 26,,,Valencia,46002,Valencia,ES,,,,,,,,,,,,,,,Shopify Payments,pay_AI_1007_0003,0.00,Anclora Insights,0.00,,,,13370000000003,prueba,Low,web,0.00,ES IVA ebook 4 %,0.27,,,,,,,,,,,,Valencia,,pay_AI_1007_0003,,,pay_AI_1007_0003
AI-1008,cliente.prueba.1008@example.test,paid,2026-07-03 11:21:00 +0200,fulfilled,2026-07-03 11:21:00 +0200,yes,EUR,6.99,0.00,0.27,6.99,,0.00,Entrega digital,2026-07-03 11:21:00 +0200,1,Éxito sin compañía,6.99,,ESC-EBOOK-ES,false,true,fulfilled,Daniel Martín,Calle Sierpes 33,Calle Sierpes 33,,,Sevilla,41001,Sevilla,ES,,,,,,,,,,,,,,,Shopify Payments,pay_AI_1008_0004,0.00,Anclora Insights,0.00,,,,13370000000004,prueba,Low,web,0.00,ES IVA ebook 4 %,0.27,,,,,,,,,,,,Sevilla,,pay_AI_1008_0004,,,pay_AI_1008_0004
AI-1009,cliente.prueba.1009@example.test,paid,2026-07-03 12:28:00 +0200,fulfilled,2026-07-03 12:28:00 +0200,no,EUR,6.99,0.00,0.27,6.99,,0.00,Entrega digital,2026-07-03 12:28:00 +0200,1,Éxito sin compañía,6.99,,ESC-EBOOK-ES,false,true,fulfilled,Elena López,Gran Vía 40,Gran Vía 40,,,Bilbao,48001,Bizkaia,ES,,,,,,,,,,,,,,,Shopify Payments,pay_AI_1009_0005,0.00,Anclora Insights,0.00,,,,13370000000005,prueba,Low,web,0.00,ES IVA ebook 4 %,0.27,,,,,,,,,,,,Bizkaia,,pay_AI_1009_0005,,,pay_AI_1009_0005
AI-1010,cliente.prueba.1010@example.test,paid,2026-07-03 13:35:00 +0200,fulfilled,2026-07-03 13:35:00 +0200,no,EUR,5.59,0.00,0.29,5.59,LECTURA20,1.40,Entrega digital,2026-07-03 13:35:00 +0200,1,Éxito sin compañía,6.99,,ESC-EBOOK-ES,false,true,fulfilled,Pablo Sánchez,Rue Oberkampf 47,Rue Oberkampf 47,,,Paris,75011,Île-de-France,FR,,,,,,,,,,,,,,,Shopify Payments,pay_AI_1010_0006,0.00,Anclora Insights,0.00,,,,13370000000006,"prueba, descuento-parcial",Low,web,1.40,FR IVA ebook 5.5 %,0.29,,,,,,,,,,,,Île-de-France,,pay_AI_1010_0006,,,pay_AI_1010_0006
