Name,Email,Financial Status,Paid at,Fulfillment Status,Fulfilled at,Accepts Marketing,Currency,Subtotal,Shipping,Taxes,Total,Discount Code,Discount Amount,Shipping Method,Created at,Lineitem quantity,Lineitem name,Lineitem price,Lineitem compare at price,Lineitem sku,Lineitem requires shipping,Lineitem taxable,Lineitem fulfillment status,Billing Name,Billing Street,Billing Address1,Billing Address2,Billing Company,Billing City,Billing Zip,Billing Province,Billing Country,Billing Phone,Shipping Name,Shipping Street,Shipping Address1,Shipping Address2,Shipping Company,Shipping City,Shipping Zip,Shipping Province,Shipping Country,Shipping Phone,Notes,Note Attributes,Cancelled at,Payment Method,Payment Reference,Refunded Amount,Vendor,Outstanding Balance,Employee,Location,Device ID,Id,Tags,Risk Level,Source,Lineitem discount,Tax 1 Name,Tax 1 Value,Tax 2 Name,Tax 2 Value,Tax 3 Name,Tax 3 Value,Tax 4 Name,Tax 4 Value,Tax 5 Name,Tax 5 Value,Phone,Receipt Number,Duties,Billing Province Name,Shipping Province Name,Payment ID,Payment Terms Name,Next Payment Due At,Payment References
AI-2001,marc.kelly1@example-mail.com,paid,,fulfilled,2026-06-01 12:02:00 +0200,yes,EUR,9.99,0.00,0.00,9.99,,0.00,,2026-06-01 12:02:00 +0200,1,El arte de vender online,9.99,,,false,true,fulfilled,Marc Kelly,Strasse Beispiel 58,Strasse Beispiel 58,,,Toronto,19289,ON,CA,,,,,,,,,,,,,,,,,0.00,Anclora Insights,0.00,,,,13400000000001,,Low,web,0.00,,,,,,,,,,,,,,Ontario,,,,,
AI-2002,jasper.sharma2@example-mail.com,paid,,fulfilled,2026-06-01 15:37:00 +0200,no,EUR,11.49,0.00,0.46,11.95,,0.00,,2026-06-01 15:37:00 +0200,1,Automatiza tu negocio,11.49,,,false,true,fulfilled,Jasper Sharma,Calle Ejemplo 144,Calle Ejemplo 144,,,Madrid,27062,M,ES,,,,,,,,,,,,,,,,,0.00,Anclora Insights,0.00,,,,13400000000002,,Low,web,0.00,ES IVA 4 %,0.46,,,,,,,,,,,,Madrid,,,,,
AI-2003,ingrid.de-jong3@example-mail.com,refunded,2026-06-01 18:06:00 +0200,fulfilled,2026-06-01 18:06:00 +0200,no,EUR,29.97,0.00,0.00,29.97,,0.00,,2026-06-01 18:06:00 +0200,3,El arte de vender online,9.99,,,false,true,fulfilled,Ingrid de Jong,Demo Lane 88,Demo Lane 88,,,Tokyo,37421,,JP,,,,,,,,,,,,,,,Shopify Payments,seedRef0003AncloraDemo,29.97,Anclora Insights,0.00,,,,13400000000003,,Low,web,0.00,,,,,,,,,,,,,,Tokyo,,seedRef0003AncloraDemo,,,seedRef0003AncloraDemo
AI-2004,julia.murphy4@example-mail.com,refunded,2026-06-01 21:18:00 +0200,fulfilled,2026-06-01 21:18:00 +0200,no,EUR,11.49,0.00,0.00,11.49,,0.00,,2026-06-01 21:18:00 +0200,1,Automatiza tu negocio,11.49,,,false,true,fulfilled,Julia Murphy,Calle Ejemplo 187,Calle Ejemplo 187,,,Pretoria,61217,,ZA,,,,,,,,,,,,,,,Shopify Payments,seedRef0004AncloraDemo,11.49,Anclora Insights,0.00,,,,13400000000004,,Low,web,0.00,,,,,,,,,,,,,,Gauteng,,seedRef0004AncloraDemo,,,seedRef0004AncloraDemo
AI-2005,sipho.müller5@example-mail.com,paid,,fulfilled,2026-06-02 00:55:00 +0200,yes,EUR,9.99,0.00,0.00,9.99,,0.00,,2026-06-02 00:55:00 +0200,1,El arte de vender online,9.99,,,false,true,fulfilled,Sipho Müller,Calle Ejemplo 170,Calle Ejemplo 170,,,New York,30871,NY,US,,,,,,,,,,,,,,,,,0.00,Anclora Insights,0.00,,,,13400000000005,,Low,web,0.00,,,,,,,,,,,,,,New York,,,,,
AI-2006,jessica.brown6@example-mail.com,paid,,fulfilled,2026-06-02 03:43:00 +0200,yes,EUR,14.99,0.00,0.60,15.59,,0.00,,2026-06-02 03:43:00 +0200,1,Ecommerce sin fronteras,14.99,,,false,true,fulfilled,Jessica Brown,Rue Fictive 95,Rue Fictive 95,,,Cork,47566,,IE,,,,,,,,,,,,,,,,,0.00,Anclora Insights,0.00,,,,13400000000006,,Low,web,0.00,ES IVA 4 %,0.60,,,,,,,,,,,,Leinster,,,,,
AI-2007,alejandro.nowak7@example-mail.com,paid,,fulfilled,2026-06-02 06:53:00 +0200,yes,EUR,8.49,0.00,0.00,8.49,,0.00,,2026-06-02 06:53:00 +0200,1,Marca personal en 30 días,8.49,,,false,true,fulfilled,Alejandro Nowak,Rue Fictive 119,Rue Fictive 119,,,Austin,50735,TX,US,,,,,,,,,,,,,,,,,0.00,Anclora Insights,0.00,,,,13400000000007,,Low,web,0.00,,,,,,,,,,,,,,Texas,,,,,
AI-2008,siobhan.wilson8@example-mail.com,paid,,fulfilled,2026-06-02 09:31:00 +0200,no,EUR,4.99,0.00,0.20,5.19,,0.00,,2026-06-02 09:31:00 +0200,1,Guía práctica del ebook,4.99,,,false,true,fulfilled,Siobhan Wilson,Via Esempio 17,Via Esempio 17,,,Amsterdam,28653,,NL,,,,,,,,,,,,,,,,,0.00,Anclora Insights,0.00,,,,13400000000008,,Low,web,0.00,ES IVA 4 %,0.20,,,,,,,,,,,,Noord-Holland,,,,,
AI-2009,giulia.murphy9@example-mail.com,paid,,fulfilled,2026-06-02 12:27:00 +0200,no,EUR,14.99,0.00,0.00,14.99,,0.00,,2026-06-02 12:27:00 +0200,1,Ecommerce sin fronteras,14.99,,,false,true,fulfilled,Giulia Murphy,Rue Fictive 64,Rue Fictive 64,,,Basel,98647,,CH,,,,,,,,,,,,,,,,,0.00,Anclora Insights,0.00,,,,13400000000009,,Low,web,0.00,,,,,,,,,,,,,,Zürich,,,,,
AI-2010,greta.sharma10@example-mail.com,paid,,fulfilled,2026-06-02 15:50:00 +0200,no,EUR,12.99,0.00,0.52,13.51,,0.00,,2026-06-02 15:50:00 +0200,1,Fiscalidad para creadores digitales,12.99,,,false,true,fulfilled,Greta Sharma,Fictional Ave 24,Fictional Ave 24,,,Stockholm,7175,,SE,,,,,,,,,,,,,,,,,0.00,Anclora Insights,0.00,,,,13400000000010,,Low,web,0.00,ES IVA 4 %,0.52,,,,,,,,,,,,Stockholm,,,,,
